1384310081676	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCErrorElementButton2.java/1384310019724.java
1384310081676	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCGraphBackgroundColor.java/1384310019725.java
1384310081676	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCGraphBackgroundColor.java/1384310019725.java
1384310082535	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCGraphBackgroundColor.java/1384310019725.java
1384310081677	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCGraphBackgroundColor.java/1384310019725.java
1384310081677	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCGraphFrame.java/1384310019752.java
1384310081677	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCGraphFrame.java/1384310019752.java
1384310082571	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCGraphFrame.java/1384310019752.java
1384310081678	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCGraphFrame.java/1384310019752.java
1384310081678	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/view/CCMainFrame2.java/1384310019762.java
1384310081678	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/view/CCMainFrame2.java/1384310019762.java
1384310082607	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/view/CCMainFrame2.java/1384310019762.java
1384310081679	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/view/CCMainFrame2.java/1384310019762.java
1384310085294	Wed Nov 13 11:34:45 JST 2013	COMMAND_RECORD	FOCUS_GAINED	src/src/coco/CCConverterStart.java
1384310097584	Wed Nov 13 11:34:57 JST 2013	COMMAND_RECORD	FOCUS_LOST	src/src/coco/CCConverterStart.java
1384310098676	Wed Nov 13 11:34:58 JST 2013	COMMAND_RECORD	FOCUS_GAINED	src/src/coco/CCConverterStart.java
1384310879428	Wed Nov 13 11:47:59 JST 2013	COMMAND_RECORD	FOCUS_LOST	src/src/coco/CCConverterStart.java
1384310888973	Wed Nov 13 11:48:08 JST 2013	PROJECT_RECORD	EXTENDED	org.eclipse.ui.file.properties	true
1384310890056	Wed Nov 13 11:48:10 JST 2013	COMMAND_RECORD	FOCUS_GAINED	src/src/coco/CCConverterStart.java
1384310896521	Wed Nov 13 11:48:16 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	0	13	
